#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
31256#37899##services#single#secondary#no#-267,0#yes#no#cellular#14#may#7.0#352,0#1#failure#no
31257#22129#46,0#services#married#secondary#no#244,0#no#no#cellular#21#aug#2.0#-1,0#0#unknown#no
31258#6#35,0#management#married#tertiary#no#231,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
31259#32585#24,0#blue-collar#married#secondary#no#9,0#yes#yes#cellular#17#apr#1.0#-1,0#0#unknown#no
31260#1081#37,0#self-employed#married#primary#no#0,0#no#no#unknown#7#may#4.0#-1,0#0#unknown#no
31261#15806#45,0#blue-collar#divorced#primary#no#0,0#yes#no#cellular#21#jul#2.0#-1,0#0#unknown#no
31262#28797#47,0#housemaid#married#tertiary#no#1692,0#yes#no#cellular#30#jan#1.0#-1,0#0#unknown#no
31263#9740#44,0#blue-collar#married#primary#no#2135,0#no#no#unknown#9#jun#1.0#-1,0#0#unknown#no
31264#27849#54,0#unemployed#divorced#secondary#no#550,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#no
31265#20163#30,0#technician#single#secondary#no#44,0#no#no#cellular#11#aug#2.0#-1,0#0#unknown#no
31266#15865#51,0#management#divorced#tertiary#no#3926,0#yes#no#cellular#21#jul#2.0#-1,0#0#unknown#no
31267#28193#35,0#management#single#unknown#no#343,0#no#no#cellular#29#jan#2.0#-1,0#0#unknown#no
31268#5354#36,0#management#divorced#tertiary#yes#-1,0#yes#yes#unknown#23#may#1.0#-1,0#0#unknown#no
31269#37207##blue-collar#married#secondary#no#418,0#yes#yes#cellular#13#may#2.0#-1,0#0#unknown#no
31270#41580#56,0#services#married#secondary#no#654,0#no#no#cellular#15#sep#1.0#-1,0#0#unknown#yes
31271#22996#32,0#technician#single#secondary#no#0,0#no#no#cellular#26#aug#2.0#-1,0#0#unknown#no
31272#111#29,0#services#divorced#secondary#no#31,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
31273#24425#42,0#unemployed#married#secondary#no#4544,0#no#no#cellular#17#nov#2.0#-1,0#0#unknown#no
31274#5431#41,0#technician#single#secondary#no#30,0#no#no#unknown#23#may#1.0#-1,0#0#unknown#no
31275#43053#77,0#retired#married#primary#no#2590,0#no#no#telephone#15#feb#5.0#94,0#15#success#no
31276#29303#26,0#self-employed#single#tertiary#no#458,0#yes#yes#cellular#2#feb#7.0#-1,0#0#unknown#no
31277#26833##services#single#secondary#no#7242,0#no#no#telephone#20#nov#3.0#-1,0#0#unknown#no
31278#16884#39,0#entrepreneur#married#primary#no#13930,0#yes#no#cellular#25#jul#2.0#-1,0#0#unknown#no
31279#6450#38,0#services#married#secondary#no#133,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
31280#36524#26,0#student#single#tertiary#no#2182,0#yes#no#cellular#12#may#1.0#292,0#1#other#no
31281#35767#38,0#admin.#divorced#secondary#no#258,0#yes#no#cellular#8#may#1.0#-1,0#0#unknown#no
31282#29328#48,0#blue-collar#single#primary#no#623,0#yes#no#cellular#2#feb#2.0#-1,0#0#unknown#yes
31283#27915#59,0#retired#married#secondary#no#1066,0#yes#no#cellular#28#jan#2.0#-1,0#0#unknown#no
31284#35338#24,0#admin.#single#secondary#no#1725,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
31285#16281#38,0#admin.#married#secondary#no#532,0#yes#no#cellular#23#jul#1.0#-1,0#0#unknown#no
31286#35626#36,0#services#divorced#primary#no#418,0#yes#no#cellular#8#may#2.0#-1,0#0#unknown#no
31287#5049#32,0#services#divorced#secondary#no#1156,0#yes#no#unknown#21#may#1.0#-1,0#0#unknown#no
31288#27756#43,0#entrepreneur#divorced#tertiary#no#626,0#yes#no#cellular#28#jan#1.0#167,0#2#failure#no
31289#42123#29,0#student#single#unknown#no#10332,0#no#no#cellular#2#nov#3.0#-1,0#0#unknown#yes
31290#33797##management#single#tertiary#no#493,0#no#no#cellular#23#apr#1.0#-1,0#0#unknown#no
31291#24971#39,0#self-employed#married#tertiary#no#585,0#yes#no#cellular#18#nov#1.0#181,0#3#failure#no
31292#10992#37,0#self-employed#single#tertiary#no#556,0#no#no#unknown#17#jun#2.0#-1,0#0#unknown#no
31293#34773#29,0#blue-collar#married#primary#no#111,0#yes#no#cellular#6#may#11.0#-1,0#0#unknown#no
31294#25198#33,0#technician#married#secondary#no#2746,0#yes#no#cellular#18#nov#2.0#-1,0#0#unknown#no
31295#1952##admin.#married#secondary#no#10,0#yes#no#unknown#9#may#2.0#-1,0#0#unknown#no
31296#36084#39,0#entrepreneur#single#tertiary#no#243,0#no#yes#cellular#11#may#3.0#371,0#1#failure#no
31297#547#59,0#blue-collar#divorced#unknown#no#124,0#yes#no#unknown#6#may#1.0#-1,0#0#unknown#no
31298#4157#56,0#blue-collar#married#secondary#no#25,0#yes#no#unknown#19#may#1.0#-1,0#0#unknown#no
31299#8542#27,0#entrepreneur#single#tertiary#no#512,0#yes#yes#unknown#3#jun#1.0#-1,0#0#unknown#no
31300#34227##blue-collar#single#tertiary#no#1984,0#yes#no#cellular#4#may#2.0#14,0#1#failure#no
31301#20328#32,0#management#married#tertiary#no#1086,0#no#no#cellular#11#aug#3.0#-1,0#0#unknown#no
31302#10885#38,0#blue-collar#married#secondary#no#702,0#no#no#unknown#17#jun#2.0#-1,0#0#unknown#no
31303#23611#47,0#admin.#divorced#secondary#no#225,0#no#no#cellular#28#aug#4.0#-1,0#0#unknown#yes
31304#34455#36,0#blue-collar#single#secondary#no#206,0#yes#no#cellular#5#may#6.0#-1,0#0#unknown#no
31305#8133##blue-collar#married#secondary#no#-304,0#yes#yes#unknown#2#jun#4.0#-1,0#0#unknown#no
31306#33616#48,0#services#married#secondary#no#515,0#yes#no#telephone#20#apr#5.0#-1,0#0#unknown#no
31307#36178#35,0#services#married#secondary#no#2048,0#yes#no#cellular#11#may#1.0#173,0#2#failure#no
31308#6404##management#married#tertiary#no#1944,0#yes#no#unknown#27#may#2.0#-1,0#0#unknown#no
31309#25506#31,0#self-employed#single#unknown#no#7118,0#yes#no#cellular#19#nov#1.0#168,0#2#other#no
31310#23592#59,0#retired#married#secondary#no#82,0#no#no#cellular#28#aug#6.0#-1,0#0#unknown#no
31311#8673#41,0#management#single#tertiary#no#256,0#yes#no#unknown#3#jun#6.0#-1,0#0#unknown#no
31312#1707#26,0#blue-collar#single#secondary#no#-116,0#yes#yes#unknown#9#may#1.0#-1,0#0#unknown#no
31313#473#46,0#blue-collar#married#unknown#no#1044,0#yes#no#unknown#6#may#1.0#-1,0#0#unknown#no
31314#39821#38,0#unemployed#single#secondary#no#804,0#no#no#cellular#1#jun#1.0#-1,0#0#unknown#yes
31315#2478#35,0#technician#single#secondary#no#2144,0#yes#no#unknown#13#may#2.0#-1,0#0#unknown#no
31316#8675#27,0#blue-collar#married#primary#no#1002,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
31317#36086##management#divorced#tertiary#no#434,0#yes#no#cellular#11#may#1.0#271,0#2#success#no
31318#41326#65,0#retired#divorced#tertiary#no#0,0#no#no#cellular#28#aug#1.0#-1,0#0#unknown#no
31319#32365#36,0#technician#single#secondary#no#2511,0#yes#no#cellular#16#apr#5.0#-1,0#0#unknown#yes
31320#9874#60,0#management#married#primary#no#4895,0#no#no#unknown#9#jun#1.0#-1,0#0#unknown#no
31321#2553#39,0#admin.#single#secondary#no#14,0#yes#yes#unknown#13#may#9.0#-1,0#0#unknown#no
31322#16197##blue-collar#married#primary#no#-119,0#yes#no#cellular#22#jul#3.0#-1,0#0#unknown#no
31323#7904#52,0#blue-collar#single#unknown#no#905,0#yes#no#unknown#30#may#4.0#-1,0#0#unknown#no
31324#3737##services#single#secondary#no#484,0#yes#no#unknown#16#may#2.0#-1,0#0#unknown#no
31325#3449#46,0#self-employed#single#tertiary#no#1934,0#yes#no#unknown#15#may#3.0#-1,0#0#unknown#no
31326#1340#43,0#blue-collar#married#primary#no#186,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
31327#13701#34,0#blue-collar#married#primary#no#-319,0#yes#yes#cellular#9#jul#4.0#-1,0#0#unknown#no
31328#2991#57,0#retired#married#secondary#no#3545,0#yes#no#unknown#14#may#2.0#-1,0#0#unknown#no
31329#40383##retired#married#secondary#no#2747,0#no#no#cellular#23#jun#1.0#-1,0#0#unknown#no
31330#44398##housemaid#married#secondary#no#0,0#no#no#telephone#3#aug#2.0#181,0#5#failure#yes
31331#43400#60,0#blue-collar#married#primary#no#7929,0#no#no#unknown#1#apr#1.0#-1,0#0#unknown#yes
31332#21259#46,0#blue-collar#married#secondary#no#5,0#no#no#cellular#18#aug#3.0#-1,0#0#unknown#no
31333#42822#33,0#entrepreneur#single#secondary#no#278,0#no#no#cellular#1#feb#5.0#-1,0#0#unknown#yes
31334#1593#29,0#blue-collar#single#secondary#no#-138,0#yes#yes#unknown#8#may#5.0#-1,0#0#unknown#no
31335#18830##technician#divorced#secondary#yes#-63,0#no#yes#cellular#4#aug#1.0#-1,0#0#unknown#no
31336#22433#45,0#housemaid#married#secondary#no#1623,0#no#no#cellular#22#aug#4.0#-1,0#0#unknown#no
31337#31022#59,0#blue-collar#married#primary#no#1723,0#no#no#cellular#10#feb#3.0#-1,0#0#unknown#no
31338#41911#46,0#admin.#single#secondary#no#1693,0#yes#no#cellular#20#oct#1.0#-1,0#0#unknown#yes
31339#37444#35,0#services#single#secondary#no#0,0#yes#no#cellular#13#may#2.0#-1,0#0#unknown#no
31340#24742#56,0#management#married#secondary#no#0,0#no#no#telephone#18#nov#1.0#-1,0#0#unknown#no
31341#9700#46,0#services#married#secondary#no#2215,0#no#no#unknown#6#jun#2.0#-1,0#0#unknown#no
31342#15475#43,0#management#married#primary#no#62,0#yes#no#cellular#18#jul#3.0#-1,0#0#unknown#no
31343#44339#61,0#management#married#unknown#no#264,0#no#no#telephone#29#jul#1.0#178,0#1#success#yes
31344#259#36,0#services#married#secondary#no#143,0#yes#yes#unknown#5#may#1.0#-1,0#0#unknown#no
31345#18574#40,0#technician#married#tertiary#yes#-2827,0#yes#yes#cellular#31#jul#1.0#-1,0#0#unknown#no
31346#40318##admin.#single#secondary#no#-98,0#yes#no#cellular#16#jun#1.0#-1,0#0#unknown#no
31347#6006#59,0#services#married#secondary#no#-22,0#yes#no#unknown#26#may#3.0#-1,0#0#unknown#yes
31348#23942#46,0#blue-collar#married#primary#no#201,0#no#no#cellular#29#aug#6.0#-1,0#0#unknown#no
31349#710#33,0#blue-collar#married#secondary#no#372,0#yes#no#unknown#6#may#2.0#-1,0#0#unknown#no
31350#18537#36,0#technician#married#secondary#no#7957,0#no#no#cellular#31#jul#2.0#-1,0#0#unknown#no
31351#22719#37,0#technician#married#secondary#no#5380,0#no#no#cellular#25#aug#6.0#-1,0#0#unknown#no
31352#11000#36,0#housemaid#married#primary#no#758,0#no#no#unknown#17#jun#2.0#-1,0#0#unknown#no
31353#24489#56,0#management#divorced#tertiary#no#2096,0#no#no#cellular#17#nov#2.0#-1,0#0#unknown#no
31354#23048#41,0#technician#married#tertiary#no#231,0#no#no#cellular#26#aug#2.0#-1,0#0#unknown#yes
31355#44346#28,0#admin.#single#secondary#no#261,0#yes#yes#cellular#30#jul#7.0#182,0#9#success#no
31356#11632#25,0#blue-collar#single#secondary#no#-191,0#yes#no#unknown#19#jun#7.0#-1,0#0#unknown#yes
31357#17627#39,0#services#married#secondary#no#2381,0#yes#yes#cellular#29#jul#3.0#-1,0#0#unknown#no
31358#28533#28,0#management#single#secondary#no#1861,0#no#no#cellular#29#jan#2.0#-1,0#0#unknown#no
31359#11700##blue-collar#single#secondary#no#847,0#no#no#unknown#20#jun#1.0#-1,0#0#unknown#no
31360#18942#50,0#admin.#married#secondary#no#0,0#no#no#cellular#4#aug#4.0#-1,0#0#unknown#no
31361#30971#27,0#unemployed#single#primary#no#799,0#no#no#cellular#9#feb#4.0#-1,0#0#unknown#no
31362#31224#33,0#blue-collar#single#secondary#no#1925,0#yes#no#cellular#2#mar#2.0#-1,0#0#unknown#no
31363#44242#31,0#unemployed#divorced#tertiary#no#756,0#no#no#cellular#20#jul#2.0#-1,0#0#unknown#yes
31364#16477#39,0#technician#married#secondary#no#694,0#yes#no#cellular#23#jul#5.0#-1,0#0#unknown#no
31365#5007#33,0#self-employed#married#tertiary#no#1301,0#yes#no#unknown#21#may#2.0#-1,0#0#unknown#no
31366#31952#35,0#technician#married#secondary#no#327,0#yes#no#cellular#13#apr#3.0#-1,0#0#unknown#no
31367#35993#26,0#admin.#married#secondary#no#354,0#yes#no#cellular#8#may#5.0#347,0#5#other#no
31368#35114#40,0#management#married#tertiary#no#1598,0#yes#yes#cellular#6#may#4.0#344,0#3#failure#yes
31369#23387#48,0#technician#divorced#secondary#yes#20,0#no#no#cellular#27#aug#3.0#-1,0#0#unknown#no
31370#13364#47,0#blue-collar#married#secondary#no#125,0#no#no#cellular#8#jul#2.0#-1,0#0#unknown#no
31371#14443##technician#married#secondary#no#2406,0#yes#no#telephone#14#jul#5.0#-1,0#0#unknown#no
31372#45003#36,0#management#single#tertiary#no#2646,0#no#no#cellular#13#oct#1.0#182,0#10#success#yes
31373#1702#26,0#blue-collar#single#secondary#no#153,0#yes#no#unknown#9#may#1.0#-1,0#0#unknown#no
31374#43536#77,0#management#married#unknown#no#1780,0#yes#no#cellular#23#apr#2.0#182,0#5#success#yes
31375#151##blue-collar#married#unknown#no#-19,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
31376#26142#38,0#self-employed#divorced#secondary#yes#2,0#no#no#cellular#20#nov#2.0#-1,0#0#unknown#no
31377#5588#35,0#blue-collar#married#primary#no#208,0#yes#no#unknown#23#may#3.0#-1,0#0#unknown#no
31378#39366#45,0#admin.#divorced#secondary#no#397,0#yes#yes#cellular#22#may#1.0#95,0#2#success#yes
31379#43955#25,0#blue-collar#single#secondary#no#303,0#no#no#cellular#18#jun#1.0#92,0#1#success#yes
31380#5890##blue-collar#married#primary#no#-88,0#yes#no#unknown#26#may#1.0#-1,0#0#unknown#no
31381#36520#60,0#retired#married#secondary#no#5789,0#yes#no#cellular#12#may#5.0#-1,0#0#unknown#no
31382#38633#36,0#admin.#single#secondary#no#185,0#yes#no#cellular#15#may#4.0#371,0#5#other#no
31383#32451##admin.#married#secondary#no#-76,0#yes#no#cellular#16#apr#1.0#-1,0#0#unknown#no
31384#42471#66,0#retired#married#unknown#no#2540,0#no#no#telephone#10#dec#2.0#156,0#1#other#yes
31385#41015#34,0#management#single#tertiary#no#13014,0#no#no#cellular#13#aug#1.0#-1,0#0#unknown#yes
31386#19596#32,0#technician#single#secondary#no#-23,0#no#yes#cellular#7#aug#5.0#-1,0#0#unknown#no
31387#1002#50,0#technician#married#secondary#no#73,0#no#no#unknown#7#may#1.0#-1,0#0#unknown#no
31388#22881#38,0#technician#married#secondary#no#0,0#no#no#cellular#25#aug#5.0#-1,0#0#unknown#no
31389#8493#31,0#admin.#single#secondary#no#1588,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
31390#33102#30,0#services#single#unknown#no#138,0#yes#no#cellular#20#apr#1.0#-1,0#0#unknown#no
31391#32583#29,0#technician#single#secondary#no#32,0#yes#yes#cellular#17#apr#1.0#-1,0#0#unknown#no
31392#9755#46,0#housemaid#married#primary#no#39,0#no#no#unknown#9#jun#2.0#-1,0#0#unknown#no
31393#24189#58,0#technician#married#secondary#no#-942,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
31394#43308#60,0#retired#married#secondary#no#8332,0#no#no#cellular#16#mar#1.0#194,0#7#other#yes
31395#12485#40,0#services#single#secondary#no#-27,0#no#yes#unknown#1#jul#1.0#-1,0#0#unknown#no
31396#4004#55,0#technician#married#secondary#no#2055,0#yes#no#unknown#16#may#4.0#-1,0#0#unknown#no
31397#5530#58,0#retired#married#primary#no#0,0#yes#no#unknown#23#may#6.0#-1,0#0#unknown#no
31398#11450#45,0#blue-collar#married#primary#no#351,0#yes#no#unknown#19#jun#1.0#-1,0#0#unknown#no
31399#30455#41,0#entrepreneur#single#tertiary#no#791,0#yes#no#cellular#5#feb#1.0#80,0#1#other#no
31400#8139#29,0#admin.#single#secondary#no#315,0#yes#no#unknown#2#jun#4.0#-1,0#0#unknown#no
31401#34474#35,0#technician#single#unknown#no#726,0#yes#no#cellular#5#may#1.0#-1,0#0#unknown#no
31402#20795#55,0#technician#married#secondary#no#303,0#no#yes#cellular#13#aug#2.0#-1,0#0#unknown#no
31403#19841#46,0#self-employed#married#primary#no#107,0#yes#no#cellular#8#aug#6.0#-1,0#0#unknown#no
31404#8320#44,0#blue-collar#single#secondary#no#-292,0#yes#no#unknown#2#jun#7.0#-1,0#0#unknown#no
31405#26612#44,0#blue-collar#divorced#primary#no#3953,0#yes#no#cellular#20#nov#1.0#-1,0#0#unknown#no
31406#33209#24,0#blue-collar#married#secondary#no#1222,0#yes#no#cellular#20#apr#1.0#-1,0#0#unknown#no
31407#44365#26,0#technician#single#secondary#no#1873,0#no#no#cellular#2#aug#3.0#276,0#2#other#no
31408#24782#34,0#management#married#tertiary#no#65,0#yes#no#cellular#18#nov#1.0#-1,0#0#unknown#no
31409#248#40,0#management#married#tertiary#no#207,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
31410#17103#46,0#blue-collar#married#primary#no#-160,0#no#yes#telephone#25#jul#11.0#-1,0#0#unknown#no
31411#10416#44,0#management#single#tertiary#no#3355,0#yes#no#unknown#12#jun#2.0#-1,0#0#unknown#no
31412#33409#51,0#blue-collar#married#primary#no#1016,0#yes#no#cellular#20#apr#1.0#-1,0#0#unknown#no
31413#25087#33,0#admin.#married#tertiary#no#46,0#yes#no#cellular#18#nov#1.0#-1,0#0#unknown#no
31414#32726#53,0#retired#divorced#secondary#no#-172,0#yes#yes#cellular#17#apr#1.0#-1,0#0#unknown#no
31415#26396#48,0#entrepreneur#divorced#tertiary#no#3520,0#yes#no#cellular#20#nov#4.0#-1,0#0#unknown#no
31416#12605#31,0#admin.#married#secondary#no#-36,0#yes#yes#unknown#4#jul#1.0#-1,0#0#unknown#no
31417#34349#43,0#entrepreneur#married#secondary#no#0,0#no#no#telephone#4#may#4.0#-1,0#0#unknown#no
31418#26716#53,0#entrepreneur#married#secondary#no#111,0#yes#no#cellular#20#nov#3.0#189,0#2#failure#no
31419#42541#54,0#management#divorced#tertiary#no#12018,0#yes#no#cellular#21#dec#2.0#-1,0#0#unknown#yes
31420#36436#29,0#technician#single#tertiary#no#18254,0#no#no#cellular#11#may#2.0#-1,0#0#unknown#no
31421#29051#40,0#unemployed#divorced#secondary#no#507,0#yes#no#cellular#2#feb#1.0#266,0#7#failure#no
31422#30295#27,0#unemployed#single#secondary#no#11,0#no#no#cellular#5#feb#1.0#-1,0#0#unknown#no
31423#38773##services#single#secondary#no#504,0#yes#no#cellular#18#may#5.0#362,0#8#other#no
31424#28467#26,0#services#single#secondary#no#397,0#no#no#cellular#29#jan#1.0#-1,0#0#unknown#no
31425#42268#77,0#retired#married#primary#no#2590,0#no#no#telephone#13#nov#3.0#277,0#12#failure#yes
31426#17135#27,0#technician#single#secondary#no#-646,0#yes#no#cellular#25#jul#8.0#-1,0#0#unknown#no
31427#35278#32,0#blue-collar#married#primary#no#39,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
31428#5829#31,0#services#divorced#secondary#no#-274,0#yes#no#unknown#26#may#1.0#-1,0#0#unknown#no
31429#9097#42,0#technician#married#secondary#no#769,0#no#no#unknown#5#jun#1.0#-1,0#0#unknown#no
31430#19912#45,0#blue-collar#married#secondary#no#827,0#yes#yes#cellular#8#aug#2.0#-1,0#0#unknown#no
31431#31509#33,0#management#single#tertiary#no#3161,0#yes#no#cellular#2#apr#3.0#-1,0#0#unknown#yes
31432#31018#35,0#technician#single#secondary#no#1693,0#yes#no#cellular#10#feb#1.0#-1,0#0#unknown#yes
31433#17970#44,0#management#married#secondary#no#488,0#no#yes#cellular#30#jul#11.0#-1,0#0#unknown#no
31434#41200#45,0#housemaid#married#secondary#no#4068,0#no#no#cellular#20#aug#1.0#-1,0#0#unknown#yes
31435#26881#36,0#blue-collar#married#secondary#no#2848,0#yes#no#cellular#20#nov#3.0#-1,0#0#unknown#no
31436#21167#46,0#technician#divorced#secondary#no#0,0#no#no#telephone#14#aug#8.0#-1,0#0#unknown#no
31437#10304#56,0#admin.#married#secondary#no#1290,0#no#no#unknown#12#jun#1.0#-1,0#0#unknown#no
31438#12095#45,0#technician#married#secondary#no#0,0#yes#yes#unknown#20#jun#5.0#-1,0#0#unknown#no
31439#8516##management#married#secondary#no#341,0#no#no#unknown#3#jun#2.0#-1,0#0#unknown#no
31440#268#39,0#admin.#divorced#secondary#no#-349,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
31441#22416#43,0#technician#married#secondary#no#328,0#no#no#cellular#22#aug#2.0#-1,0#0#unknown#no
31442#6170#40,0#blue-collar#married#primary#no#-335,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
31443#12561#57,0#blue-collar#married#primary#no#47,0#no#yes#unknown#3#jul#1.0#-1,0#0#unknown#no
31444#9308#39,0#blue-collar#married#primary#no#3127,0#yes#yes#unknown#5#jun#2.0#-1,0#0#unknown#no
31445#15294#60,0#retired#divorced#secondary#no#0,0#no#no#cellular#18#jul#10.0#-1,0#0#unknown#no
31446#1225#38,0#management#married#secondary#no#65,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
31447#30212#50,0#blue-collar#divorced#primary#no#388,0#no#no#cellular#5#feb#1.0#-1,0#0#unknown#no
31448#7528#46,0#entrepreneur#married#primary#no#1757,0#yes#no#unknown#30#may#3.0#-1,0#0#unknown#no
31449#7178#32,0#admin.#married#tertiary#no#118,0#no#no#unknown#29#may#10.0#-1,0#0#unknown#no
31450#42430#64,0#retired#married#secondary#no#1220,0#no#no#cellular#7#dec#1.0#-1,0#0#unknown#no
31451#29629##self-employed#married#tertiary#no#174,0#yes#no#cellular#3#feb#3.0#-1,0#0#unknown#no
31452#6466##management#married#secondary#no#-397,0#yes#no#unknown#27#may#3.0#-1,0#0#unknown#no
31453#19357#36,0#technician#married#secondary#no#129,0#yes#no#cellular#6#aug#2.0#-1,0#0#unknown#no
31454#27170#46,0#self-employed#married#primary#no#2747,0#no#no#cellular#21#nov#2.0#-1,0#0#unknown#no
31455#19000##management#divorced#secondary#no#0,0#no#no#cellular#5#aug#3.0#-1,0#0#unknown#yes
31456#16592#51,0#retired#divorced#primary#no#43,0#no#no#cellular#24#jul#2.0#-1,0#0#unknown#no
31457#22005#33,0#management#divorced#secondary#no#106,0#no#no#cellular#20#aug#3.0#-1,0#0#unknown#no
31458#38534#34,0#management#single#tertiary#no#2360,0#yes#no#cellular#15#may#2.0#176,0#1#failure#no
31459#1020#35,0#blue-collar#married#primary#no#229,0#yes#no#unknown#7#may#3.0#-1,0#0#unknown#no
31460#17770#53,0#technician#married#secondary#no#2191,0#no#no#telephone#29#jul#5.0#-1,0#0#unknown#no
31461#5684#59,0#admin.#married#secondary#no#-396,0#yes#no#unknown#26#may#1.0#-1,0#0#unknown#no
31462#31639#47,0#admin.#single#secondary#no#1544,0#yes#no#cellular#6#apr#1.0#312,0#1#failure#no
31463#4956#34,0#blue-collar#married#secondary#no#622,0#yes#no#unknown#21#may#1.0#-1,0#0#unknown#no
31464#39401#39,0#management#single#tertiary#no#0,0#yes#no#cellular#22#may#1.0#93,0#3#success#yes
31465#34628#35,0#management#married#tertiary#no#76,0#no#no#cellular#5#may#1.0#362,0#9#failure#no
31466#25320#50,0#unemployed#married#secondary#no#525,0#yes#no#telephone#18#nov#2.0#-1,0#0#unknown#no
31467#27483#53,0#self-employed#single#secondary#no#186,0#no#no#cellular#21#nov#2.0#-1,0#0#unknown#no
31468#17662#52,0#technician#married#secondary#no#1818,0#no#yes#cellular#29#jul#4.0#-1,0#0#unknown#no
31469#19487#51,0#self-employed#married#primary#no#183,0#no#yes#cellular#7#aug#2.0#-1,0#0#unknown#no
31470#17083#32,0#services#single#secondary#no#441,0#no#yes#cellular#25#jul#2.0#-1,0#0#unknown#no
